eventID,year,month,day,hour,minute,second,latitude,longitude,depth,,,sigmaMagnitude,magnitude,location,Ref.,RMS(sec),Mag,Error,Depth,Error,Duplicate,Type
234,2013,1,11,16,31,45.10,5.5170,-0.316,15.00,,,0.3,3.1,Deep_learning,,,,,,,,
235,2013,1,16,18,13,19.20,5.4270,-0.455,12.00,,,0.3,2.6,Deep_learning,,,,,,,,
236,2013,1,21,13,5,42.60,6.7130,1.256,15.00,,,0.3,3.7,Deep_learning,,,,,,,,
237,2013,2,12,17,48, 2.40,5.4940,-0.547, 8.30,,,0.3,2.8,Deep_learning,,,,,,,,
238,2013,3,16,17,58,33.90,5.5120,-0.525,11.50,,,0.3,3,Deep_learning,,,,,,,,
239,2013,3,18,21,5,53.90,5.5700,-0.251,10.60,,,0.3,3.2,Deep_learning,,,,,,,,
240,2013,3,30,17,43,40.20,5.4040,-0.507,14.10,,,0.3,3.2,Deep_learning,,,,,,,,
241,2013,5,3,3,31,46.20,5.5580,-0.29,13.10,,,0.3,2.6,Deep_learning,,,,,,,,
242,2013,5,8,18,6,58.20,5.5310,-0.538, 8.60,,,0.3,3.2,Deep_learning,,,,,,,,
243,2013,5,9,12,9,51.20,6.5650,-0.997, 5.50,,,0.3,2.8,Deep_learning,,,,,,,,
244,2013,5,15,16,57,40.80,5.4300,-0.551,11.90,,,0.3,3.2,Deep_learning,,,,,,,,
245,2013,5,16,19,13,34.20,5.4220,-0.541,13.70,,,0.3,2.9,Deep_learning,,,,,,,,
246,2013,5,18,18,16,50.30,5.5290,-0.527, 8.90,,,0.3,3.2,Deep_learning,,,,,,,,
247,2013,5,24,17,21,27.00,6.8660,-1.483, 1.20,,,0.3,3.2,Deep_learning,,,,,,,,
248,2013,5,25,3,15, 8.60,5.5360,-0.296, 3.90,,,0.3,3.3,Deep_learning,,,,,,,,
249,2013,5,31,17,56,31.10,5.4290,-0.531,15.00,,,0.3,3.2,Deep_learning,,,,,,,,
250,2013,6,7,18,17,15.30,5.4030,-0.536,15.00,,,0.3,3.4,Deep_learning,,,,,,,,
251,2013,6,16,7,51,34.20,5.4370,-0.388,10.10,,,0.3,2.7,Deep_learning,,,,,,,,
252,2013,6,20,17,15,15.50,5.6000,-0.309,10.20,,,0.3,3.3,Deep_learning,,,,,,,,
253,2013,6,25,15,21,15.90,5.3900,-0.58, 7.60,,,0.3,3.4,Deep_learning,,,,,,,,
254,2013,7,10,18,35,37.90,5.4100,-0.536,15.00,,,0.3,3.1,Deep_learning,,,,,,,,
255,2013,7,25,14,47, 4.80,5.4490,-0.554,13.10,,,0.3,3.2,Deep_learning,,,,,,,,
256,2013,7,29,20,15, 2.30,5.4950,-0.325,17.90,,,0.3,3.5,Deep_learning,,,,,,,,
257,2013,8,2,20,35,17.50,5.5280,-0.299,14.40,,,0.3,2.9,Deep_learning,,,,,,,,
258,2013,8,4,17,13,13.80,7.1030,-0.293,21.00,,,0.3,3.6,Deep_learning,,,,,,,,
259,2013,8,17,12,11, 6.80,7.0100,-0.713,15.00,,,0.3,2.7,Deep_learning,,,,,,,,
260,2013,8,23,12,57,28.70,5.4310,-0.568, 7.90,,,0.3,3.2,Deep_learning,,,,,,,,
261,2013,8,24,19,25,10.40,5.5270,-0.3,14.30,,,0.3,3,Deep_learning,,,,,,,,
262,2013,8,31,12,32, 9.50,5.3930,-0.551,15.00,,,0.3,3.5,Deep_learning,,,,,,,,
263,2013,9,18,12,35,46.50,5.3170,-0.511,14.10,,,0.3,3.6,Deep_learning,,,,,,,,
264,2013,9,19,12,30,53.10,6.4200,-1.018,12.80,,,0.3,3.1,Deep_learning,,,,,,,,
265,2013,9,22,12,7,35.50,5.4610,-0.571,10.10,,,0.3,2.9,Deep_learning,,,,,,,,
266,2013,10,1,18,9, 8.40,5.4050,-0.529,15.00,,,0.3,3.3,Deep_learning,,,,,,,,
267,2013,10,13,13,21,34.50,5.4860,-0.354,10.90,,,0.3,3.9,Deep_learning,,,,,,,,
268,2013,10,14,13,2,17.80,5.4570,-0.549,13.70,,,0.3,3.4,Deep_learning,,,,,,,,
269,2013,10,16,10,24, 6.90,5.7820,-0.39, 1.30,,,0.3,2.6,Deep_learning,,,,,,,,
